extracted_row	pmid	isolate_id	drug	normalized_drug	genome_id	matched_accessions	genome_match_status	extracted_sir_raw	extracted_sir	ground_truth_sir_raw	ground_truth_sir	sir_result	extracted_mic_sign_raw	extracted_mic_raw	extracted_mic_sign	extracted_mic	ground_truth_mic_sign	ground_truth_mic	mic_result
2	34589061	LRKNS080	linezolid	linezolid			NO_GENOME_MATCH	R	R			NOT_EVALUATED							NOT_EVALUATED
3	34589061	Scl31	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
4	34589061	Scl25	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
5	34589061	KEB09	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
6	34589061	VCU105	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
7	34589061	JCM 2414	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
8	34589061	978_SEPI	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
9	34589061	LRKNS081	linezolid	linezolid			NO_GENOME_MATCH	R	R			NOT_EVALUATED							NOT_EVALUATED
10	34589061	949_S8	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
11	34589061	ET-024	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
12	34589061	UBA4169	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
13	34589061	SNUC 1209	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
14	34589061	SNUC 4029	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
15	34589061	NIHLM020	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
16	34589061	VCU081	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
17	34589061	Qt1p44	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
18	34589061	SNUC 5038	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
19	34589061	VCU109	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
20	34589061	916_SEPI	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
21	34589061	ACEF09	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
22	34589061	MTCC 3382	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
23	34589061	NIHLM067	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
24	34589061	917_2_SEPI	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
25	34589061	M26	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
26	34589061	695_SEPI	linezolid	linezolid			NO_GENOME_MATCH	S	S			NOT_EVALUATED							NOT_EVALUATED
