Section	Metric	Value
GENOME MATCHING	Extracted rows	1870
GENOME MATCHING	Genome matched	1107
GENOME MATCHING	No genome match	763
GENOME MATCHING	No accessions supplied	0
GENOME MATCHING	Ambiguous genome match	0
GENOME MATCHING	Genome match rate	59.20%
GENOME + DRUG MATCHING	Matched genome, missing GT drug	5
S/I/R/NS/NR EXTRACTION	LLM categorical calls	68
S/I/R/NS/NR EXTRACTION	Correct calls	0
S/I/R/NS/NR EXTRACTION	Incorrect calls	0
S/I/R/NS/NR EXTRACTION	Missing LLM calls	0
S/I/R/NS/NR EXTRACTION	Unrecognized LLM calls	0
S/I/R/NS/NR EXTRACTION	Extracted calls without GT	68
S/I/R/NS/NR EXTRACTION	Neither side has SIR value	1034
S/I/R/NS/NR EXTRACTION	Drug absent from GT	5
S/I/R/NS/NR EXTRACTION	Genome not evaluable	763
S/I/R/NS/NR EXTRACTION	Categorical rows compared	0
S/I/R/NS/NR EXTRACTION	GT categorical values avail.	0
MIC EXTRACTION	LLM MIC values	1034
MIC EXTRACTION	Correct MICs	1034
MIC EXTRACTION	Incorrect MICs	0
MIC EXTRACTION	Missing LLM MICs	68
MIC EXTRACTION	Extracted MICs without GT	0
MIC EXTRACTION	Neither side has MIC value	0
MIC EXTRACTION	Drug absent from GT	5
MIC EXTRACTION	Genome not evaluable	763
MIC EXTRACTION	MIC rows compared	1034
MIC EXTRACTION	GT MIC values available	1102
MIC EXTRACTION	MIC accuracy when comparable	100.00%
MIC EXTRACTION	LLM MIC coverage	93.83%
MIC EXTRACTION	Overall correct MIC	93.83%
MIC EXTRACTION	Detailed results written to	accuracies/34589061.mic.tsv
