Section	Metric	Value
GENOME MATCHING	Extracted rows	306
GENOME MATCHING	Genome matched	54
GENOME MATCHING	No genome match	180
GENOME MATCHING	No accessions supplied	72
GENOME MATCHING	Ambiguous genome match	0
GENOME MATCHING	Genome match rate	17.65%
GENOME + DRUG MATCHING	Matched genome, missing GT drug	3
S/I/R/NS/NR EXTRACTION	LLM categorical calls	0
S/I/R/NS/NR EXTRACTION	Correct calls	0
S/I/R/NS/NR EXTRACTION	Incorrect calls	0
S/I/R/NS/NR EXTRACTION	Missing LLM calls	0
S/I/R/NS/NR EXTRACTION	Unrecognized LLM calls	0
S/I/R/NS/NR EXTRACTION	Extracted calls without GT	0
S/I/R/NS/NR EXTRACTION	Neither side has SIR value	51
S/I/R/NS/NR EXTRACTION	Drug absent from GT	3
S/I/R/NS/NR EXTRACTION	Genome not evaluable	252
S/I/R/NS/NR EXTRACTION	Categorical rows compared	0
S/I/R/NS/NR EXTRACTION	GT categorical values avail.	0
MIC EXTRACTION	LLM MIC values	51
MIC EXTRACTION	Correct MICs	51
MIC EXTRACTION	Incorrect MICs	0
MIC EXTRACTION	Missing LLM MICs	0
MIC EXTRACTION	Extracted MICs without GT	0
MIC EXTRACTION	Neither side has MIC value	0
MIC EXTRACTION	Drug absent from GT	3
MIC EXTRACTION	Genome not evaluable	252
MIC EXTRACTION	MIC rows compared	51
MIC EXTRACTION	GT MIC values available	51
MIC EXTRACTION	MIC accuracy when comparable	100.00%
MIC EXTRACTION	LLM MIC coverage	100.00%
MIC EXTRACTION	Overall correct MIC	100.00%
MIC EXTRACTION	Detailed results written to	accuracies/31474962.ast_tables.tsv
