extracted_row	pmid	isolate_id	drug	normalized_drug	genome_id	matched_accessions	genome_match_status	extracted_sir_raw	extracted_sir	ground_truth_sir_raw	ground_truth_sir	sir_result	extracted_mic_sign_raw	extracted_mic_raw	extracted_mic_sign	extracted_mic	ground_truth_mic_sign	ground_truth_mic	mic_result
2	29729180	1151-66	penicillin	penicillin	1280.25972	ERS2213321,SAMEA104602039	MATCHED	R	R	Resistant	R	CORRECT	>=	0.5	>=	0.5	>=	0.5	CORRECT
3	29729180	1151-66	oxacillin	oxacillin	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.25	<=	0.25	<=	0.25	CORRECT
4	29729180	1151-66	gentamicin	gentamicin	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	<=	0.5	CORRECT
5	29729180	1151-66	ciprofloxacin	ciprofloxacin	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	<=	0.5	CORRECT
6	29729180	1151-66	erythromycin	erythromycin	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	=	1	=	1	=	1	CORRECT
7	29729180	1151-66	clindamycin	clindamycin	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	=	0.25	=	0.25	=	0.25	CORRECT
8	29729180	1151-66	tetracycline	tetracycline	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	<=	1	<=	1	<=	1	CORRECT
9	29729180	1151-66	fusidic acid	fusidic acid	1280.25972	ERS2213321,SAMEA104602039	MATCHED	R	R	Resistant	R	CORRECT	=	4	=	4	=	4	CORRECT
10	29729180	1151-66	mupirocin	mupirocin	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	<=	2	<=	2	<=	2	CORRECT
11	29729180	1151-66	trimethoprim	trimethoprim	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	<=	0.5	CORRECT
12	29729180	1151-66	linezolid	linezolid	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	=	2	=	2	=	2	CORRECT
13	29729180	1151-66	daptomycin	daptomycin	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	=	0.25	=	0.25	=	0.25	CORRECT
14	29729180	1151-66	teicoplanin	teicoplanin	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	<=	0.5	CORRECT
15	29729180	1151-66	vancomycin	vancomycin	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	=	1	=	1	=	1	CORRECT
16	29729180	1151-66	chloramphenicol	chloramphenicol	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	=	8	=	8	=	8	CORRECT
17	29729180	1151-66	rifampin	rifampin	1280.25972	ERS2213321,SAMEA104602039	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.03	<=	0.03	<=	0.03	CORRECT
18	29729180	1332-23	penicillin	penicillin	1280.25973	ERS2213322,SAMEA104602040	MATCHED	R	R	Resistant	R	CORRECT	>=	0.5	>=	0.5	>=	0.5	CORRECT
19	29729180	1332-23	oxacillin	oxacillin	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.25	<=	0.25	<=	0.25	CORRECT
20	29729180	1332-23	gentamicin	gentamicin	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	<=	0.5	CORRECT
21	29729180	1332-23	ciprofloxacin	ciprofloxacin	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	<=	0.5	CORRECT
22	29729180	1332-23	erythromycin	erythromycin	1280.25973	ERS2213322,SAMEA104602040	MATCHED	R	R	Resistant	R	CORRECT	>=	8	>=	8	>=	8	CORRECT
23	29729180	1332-23	clindamycin	clindamycin	1280.25973	ERS2213322,SAMEA104602040	MATCHED	R	R	Resistant	R	CORRECT	=	0.25	=	0.25	=	0.25	CORRECT
24	29729180	1332-23	tetracycline	tetracycline	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	<=	1	<=	1	<=	1	CORRECT
25	29729180	1332-23	fusidic acid	fusidic acid	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	<=	0.5	CORRECT
26	29729180	1332-23	mupirocin	mupirocin	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	<=	2	<=	2	<=	2	CORRECT
27	29729180	1332-23	trimethoprim	trimethoprim	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	<=	0.5	CORRECT
28	29729180	1332-23	linezolid	linezolid	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	=	2	=	2	=	2	CORRECT
29	29729180	1332-23	daptomycin	daptomycin	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	=	0.25	=	0.25	=	0.25	CORRECT
30	29729180	1332-23	teicoplanin	teicoplanin	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	<=	0.5	CORRECT
31	29729180	1332-23	vancomycin	vancomycin	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	=	1	=	1	=	1	CORRECT
32	29729180	1332-23	chloramphenicol	chloramphenicol	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	=	8	=	8	=	8	CORRECT
33	29729180	1332-23	rifampin	rifampin	1280.25973	ERS2213322,SAMEA104602040	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.03	<=	0.03	<=	0.03	CORRECT
34	29729180	1434-01	penicillin	penicillin	1280.25974	ERS2213323,SAMEA104602041	MATCHED	R	R	Resistant	R	CORRECT	>=	0.5	>=	0.5	>=	0.5	CORRECT
35	29729180	1434-01	oxacillin	oxacillin	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.25	<=	0.25	<=	0.25	CORRECT
36	29729180	1434-01	gentamicin	gentamicin	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	<=	0.5	CORRECT
37	29729180	1434-01	ciprofloxacin	ciprofloxacin	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	<=	0.5	CORRECT
38	29729180	1434-01	erythromycin	erythromycin	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	=	0.5	=	0.5	=	0.5	CORRECT
39	29729180	1434-01	clindamycin	clindamycin	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	=	0.25	=	0.25	=	0.25	CORRECT
40	29729180	1434-01	tetracycline	tetracycline	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	<=	1	<=	1	<=	1	CORRECT
41	29729180	1434-01	fusidic acid	fusidic acid	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	<=	0.5	CORRECT
42	29729180	1434-01	mupirocin	mupirocin	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	<=	2	<=	2	<=	2	CORRECT
43	29729180	1434-01	trimethoprim	trimethoprim	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	<=	0.5	CORRECT
44	29729180	1434-01	linezolid	linezolid	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	=	2	=	2	=	2	CORRECT
45	29729180	1434-01	daptomycin	daptomycin	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	=	0.25	=	0.25	=	0.25	CORRECT
46	29729180	1434-01	teicoplanin	teicoplanin	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.5	<=	0.5	<=	0.5	CORRECT
47	29729180	1434-01	vancomycin	vancomycin	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	=	1	=	1	=	1	CORRECT
48	29729180	1434-01	chloramphenicol	chloramphenicol	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	=	8	=	8	=	8	CORRECT
49	29729180	1434-01	rifampin	rifampin	1280.25974	ERS2213323,SAMEA104602041	MATCHED	S	S	Susceptible	S	CORRECT	<=	0.03	<=	0.03	<=	0.03	CORRECT
50	29729180	1435-93	penicillin	penicillin	1280.25975	ERS2213324,SAMEA104602042	MATCHED	R	R	Resistant	R	CORRECT	>=	0.5	>=	0.5	>=	0.5	CORRECT
