extracted_row	pmid	isolate_id	drug	normalized_drug	genome_id	matched_accessions	genome_match_status	extracted_sir_raw	extracted_sir	ground_truth_sir_raw	ground_truth_sir	sir_result	extracted_mic_sign_raw	extracted_mic_raw	extracted_mic_sign	extracted_mic	ground_truth_mic_sign	ground_truth_mic	mic_result
2	33293382	AUS0325	oxacillin	oxacillin	1280.51567	ERS5052815,SAMEA7294247	MATCHED					NOT_APPLICABLE	=	0.5	=	0.5	=	0.5,0.75	CORRECT
3	33293382	AUS0326	oxacillin	oxacillin	1280.51575	ERS5052816,SAMEA7294248	MATCHED					NOT_APPLICABLE	=	1.0	=	1	=	1	CORRECT
4	33293382	AUS0327	oxacillin	oxacillin	1280.51574	ERS5052817,SAMEA7294249	MATCHED					NOT_APPLICABLE	=	1.0	=	1	=	1	CORRECT
5	33293382	AUS0328	oxacillin	oxacillin	1280.51568	ERS5052818,SAMEA7294250	MATCHED					NOT_APPLICABLE	=	1.0	=	1	=	1	CORRECT
6	33293382	AUS0329	oxacillin	oxacillin	1280.51565	ERS5052819,SAMEA7294251	MATCHED					NOT_APPLICABLE	=	1.0	=	1	=	1,1.5	CORRECT
7	33293382	AUS0331	oxacillin	oxacillin	1280.51570	ERS5052820,SAMEA7294252	MATCHED					NOT_APPLICABLE	=	1.0	=	1	=	1	CORRECT
8	33293382	AUS0332	oxacillin	oxacillin	1280.51602	ERS5052821,SAMEA7294253	MATCHED					NOT_APPLICABLE	=	1.0	=	1	=	1,1.5	CORRECT
9	33293382	21162	oxacillin	oxacillin	1280.51573	ERS5052809,SAMEA7294241	MATCHED					NOT_APPLICABLE	=	0.25	=	0.25	=	0.25,0.38	CORRECT
10	33293382	21163	oxacillin	oxacillin	1280.51563	ERS5052810,SAMEA7294242	MATCHED					NOT_APPLICABLE	=	4.0	=	4	=	3,4	CORRECT
11	33293382	21164	oxacillin	oxacillin	1280.51569	ERS5052811,SAMEA7294243	MATCHED					NOT_APPLICABLE	=	0.25	=	0.25	=	0.25,0.38	CORRECT
12	33293382	21165	oxacillin	oxacillin	1280.51577	ERS5052812,SAMEA7294244	MATCHED					NOT_APPLICABLE	=	2.0	=	2	=	1.5,2	CORRECT
13	33293382	21166	oxacillin	oxacillin	1280.51576	ERS5052813,SAMEA7294245	MATCHED					NOT_APPLICABLE	=	0.25	=	0.25	=	0.25	CORRECT
14	33293382	23506	oxacillin	oxacillin	1280.51578	ERS5052814,SAMEA7294246	MATCHED					NOT_APPLICABLE	=	0.5	=	0.5	=	0.5	CORRECT
