Section	Metric	Value
GENOME MATCHING	Extracted rows	13
GENOME MATCHING	Genome matched	13
GENOME MATCHING	No genome match	0
GENOME MATCHING	No accessions supplied	0
GENOME MATCHING	Ambiguous genome match	0
GENOME MATCHING	Genome match rate	100.00%
GENOME + DRUG MATCHING	Matched genome, missing GT drug	0
S/I/R/NS/NR EXTRACTION	LLM categorical calls	0
S/I/R/NS/NR EXTRACTION	Correct calls	0
S/I/R/NS/NR EXTRACTION	Incorrect calls	0
S/I/R/NS/NR EXTRACTION	Missing LLM calls	0
S/I/R/NS/NR EXTRACTION	Unrecognized LLM calls	0
S/I/R/NS/NR EXTRACTION	Extracted calls without GT	0
S/I/R/NS/NR EXTRACTION	Neither side has SIR value	13
S/I/R/NS/NR EXTRACTION	Drug absent from GT	0
S/I/R/NS/NR EXTRACTION	Genome not evaluable	0
S/I/R/NS/NR EXTRACTION	Categorical rows compared	0
S/I/R/NS/NR EXTRACTION	GT categorical values avail.	0
MIC EXTRACTION	LLM MIC values	13
MIC EXTRACTION	Correct MICs	13
MIC EXTRACTION	Incorrect MICs	0
MIC EXTRACTION	Missing LLM MICs	0
MIC EXTRACTION	Extracted MICs without GT	0
MIC EXTRACTION	Neither side has MIC value	0
MIC EXTRACTION	Drug absent from GT	0
MIC EXTRACTION	Genome not evaluable	0
MIC EXTRACTION	MIC rows compared	13
MIC EXTRACTION	GT MIC values available	13
MIC EXTRACTION	MIC accuracy when comparable	100.00%
MIC EXTRACTION	LLM MIC coverage	100.00%
MIC EXTRACTION	Overall correct MIC	100.00%
MIC EXTRACTION	Detailed results written to	accuracies/33293382.ast_tables.tsv
