extracted_row	pmid	isolate_id	drug	normalized_drug	genome_id	matched_accessions	genome_match_status	extracted_sir_raw	extracted_sir	ground_truth_sir_raw	ground_truth_sir	sir_result	extracted_mic_sign_raw	extracted_mic_raw	extracted_mic_sign	extracted_mic	ground_truth_mic_sign	ground_truth_mic	mic_result
2	31474962	KG-03	vancomycin	vancomycin	1280.22660	SAMD00164374	MATCHED					NOT_APPLICABLE	=	0.5	=	0.5	=	0.5	CORRECT
3	31474962	KG-03	teicoplanin	teicoplanin	1280.22660	SAMD00164374	MATCHED					NOT_APPLICABLE	=	1.0	=	1	=	1	CORRECT
4	31474962	KG-03	daptomycin	daptomycin	1280.22660	SAMD00164374	MATCHED					NOT_APPLICABLE	=	0.25	=	0.25	=	0.25	CORRECT
5	31474962	KG-03	linezolid	linezolid	1280.22660	SAMD00164374	MATCHED					NOT_APPLICABLE	=	2.0	=	2	=	2	CORRECT
6	31474962	KG-03	arbekacin	arbekacin	1280.22660	SAMD00164374	MATCHED					NOT_APPLICABLE	=	0.5	=	0.5	=	0.5	CORRECT
7	31474962	KG-03	oxacillin	oxacillin	1280.22660	SAMD00164374	MATCHED					NOT_APPLICABLE	>	128	>	128	>	128	CORRECT
8	31474962	KG-03	ampicillin	ampicillin	1280.22660	SAMD00164374	MATCHED					NOT_APPLICABLE	=	16.0	=	16	=	16	CORRECT
9	31474962	KG-03	imipenem	imipenem	1280.22660	SAMD00164374	MATCHED					NOT_APPLICABLE	=	2	=	2	=	2	CORRECT
10	31474962	KG-03	meropenem	meropenem	1280.22660	SAMD00164374	MATCHED					NOT_APPLICABLE	=	8	=	8	=	8	CORRECT
11	31474962	KG-03	biapenem	biapenem	1280.22660	SAMD00164374	MATCHED					NOT_APPLICABLE	=	8	=	8	=	8	CORRECT
12	31474962	KG-03	doripenem	doripenem	1280.22660	SAMD00164374	MATCHED					NOT_APPLICABLE	=	8	=	8	=	8	CORRECT
13	31474962	KG-03	levofloxacin	levofloxacin	1280.22660	SAMD00164374	MATCHED					NOT_APPLICABLE	=	64.0	=	64	=	64	CORRECT
14	31474962	KG-03	ciprofloxacin	ciprofloxacin	1280.22660	SAMD00164374	MATCHED					NOT_APPLICABLE	=	64	=	64	=	64	CORRECT
15	31474962	KG-03	minocycline	minocycline	1280.22660	SAMD00164374	MATCHED					NOT_APPLICABLE	=	8.0	=	8	=	8	CORRECT
16	31474962	KG-03	trimethoprim/sulfamethoxazole	trimethoprim/sulfamethoxazole	1280.22660	SAMD00164374	MATCHED					NO_GT_DRUG	=	0.25	=	0.25			NO_GT_DRUG
17	31474962	KG-03	quinupristin/dalfopristin	quinupristin/dalfopristin	1280.22660	SAMD00164374	MATCHED					NOT_APPLICABLE	=	1.0	=	1	=	1	CORRECT
18	31474962	KG-03	erythromycin	erythromycin	1280.22660	SAMD00164374	MATCHED					NOT_APPLICABLE	>	4	>	4	>	4	CORRECT
19	31474962	KG-03	clindamycin	clindamycin	1280.22660	SAMD00164374	MATCHED					NOT_APPLICABLE	=	0.5	=	0.5	=	0.5	CORRECT
20	31474962	KG-06	vancomycin	vancomycin			NO_GENOME_MATCH					NOT_EVALUATED	=	2.0	=	2			NOT_EVALUATED
21	31474962	KG-06	teicoplanin	teicoplanin			NO_GENOME_MATCH					NOT_EVALUATED	=	2.0	=	2			NOT_EVALUATED
22	31474962	KG-06	daptomycin	daptomycin			NO_GENOME_MATCH					NOT_EVALUATED	=	1.0	=	1			NOT_EVALUATED
23	31474962	KG-06	linezolid	linezolid			NO_GENOME_MATCH					NOT_EVALUATED	=	2.0	=	2			NOT_EVALUATED
24	31474962	KG-06	arbekacin	arbekacin			NO_GENOME_MATCH					NOT_EVALUATED	=	2.0	=	2			NOT_EVALUATED
25	31474962	KG-06	oxacillin	oxacillin			NO_GENOME_MATCH					NOT_EVALUATED	=	128	=	128			NOT_EVALUATED
26	31474962	KG-06	ampicillin	ampicillin			NO_GENOME_MATCH					NOT_EVALUATED	=	16.0	=	16			NOT_EVALUATED
27	31474962	KG-06	imipenem	imipenem			NO_GENOME_MATCH					NOT_EVALUATED	=	32	=	32			NOT_EVALUATED
28	31474962	KG-06	meropenem	meropenem			NO_GENOME_MATCH					NOT_EVALUATED	=	16	=	16			NOT_EVALUATED
29	31474962	KG-06	biapenem	biapenem			NO_GENOME_MATCH					NOT_EVALUATED	=	32	=	32			NOT_EVALUATED
30	31474962	KG-06	doripenem	doripenem			NO_GENOME_MATCH					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
31	31474962	KG-06	levofloxacin	levofloxacin			NO_GENOME_MATCH					NOT_EVALUATED	=	64.0	=	64			NOT_EVALUATED
32	31474962	KG-06	ciprofloxacin	ciprofloxacin			NO_GENOME_MATCH					NOT_EVALUATED	=	64	=	64			NOT_EVALUATED
33	31474962	KG-06	minocycline	minocycline			NO_GENOME_MATCH					NOT_EVALUATED	=	8.0	=	8			NOT_EVALUATED
34	31474962	KG-06	trimethoprim/sulfamethoxazole	trimethoprim/sulfamethoxazole			NO_GENOME_MATCH					NOT_EVALUATED	=	0.06	=	0.06			NOT_EVALUATED
35	31474962	KG-06	quinupristin/dalfopristin	quinupristin/dalfopristin			NO_GENOME_MATCH					NOT_EVALUATED	=	1.0	=	1			NOT_EVALUATED
36	31474962	KG-06	erythromycin	erythromycin			NO_GENOME_MATCH					NOT_EVALUATED	>	4	>	4			NOT_EVALUATED
37	31474962	KG-06	clindamycin	clindamycin			NO_GENOME_MATCH					NOT_EVALUATED	=	0.5	=	0.5			NOT_EVALUATED
38	31474962	KG-18	vancomycin	vancomycin	1280.22661	SAMD00164376	MATCHED					NOT_APPLICABLE	=	8.0	=	8	=	8	CORRECT
39	31474962	KG-18	teicoplanin	teicoplanin	1280.22661	SAMD00164376	MATCHED					NOT_APPLICABLE	=	2.0	=	2	=	2	CORRECT
40	31474962	KG-18	daptomycin	daptomycin	1280.22661	SAMD00164376	MATCHED					NOT_APPLICABLE	=	2.0	=	2	=	2	CORRECT
41	31474962	KG-18	linezolid	linezolid	1280.22661	SAMD00164376	MATCHED					NOT_APPLICABLE	=	1.0	=	1	=	1	CORRECT
42	31474962	KG-18	arbekacin	arbekacin	1280.22661	SAMD00164376	MATCHED					NOT_APPLICABLE	=	4.0	=	4	=	4	CORRECT
43	31474962	KG-18	oxacillin	oxacillin	1280.22661	SAMD00164376	MATCHED					NOT_APPLICABLE	=	4	=	4	=	4	CORRECT
44	31474962	KG-18	ampicillin	ampicillin	1280.22661	SAMD00164376	MATCHED					NOT_APPLICABLE	=	1.0	=	1	=	1	CORRECT
45	31474962	KG-18	imipenem	imipenem	1280.22661	SAMD00164376	MATCHED					NOT_APPLICABLE	<=	0.06	<=	0.06	<=	0.06	CORRECT
46	31474962	KG-18	meropenem	meropenem	1280.22661	SAMD00164376	MATCHED					NOT_APPLICABLE	=	0.25	=	0.25	=	0.25	CORRECT
47	31474962	KG-18	biapenem	biapenem	1280.22661	SAMD00164376	MATCHED					NOT_APPLICABLE	=	0.25	=	0.25	=	0.25	CORRECT
48	31474962	KG-18	doripenem	doripenem	1280.22661	SAMD00164376	MATCHED					NOT_APPLICABLE	<=	0.06	<=	0.06	<=	0.06	CORRECT
49	31474962	KG-18	levofloxacin	levofloxacin	1280.22661	SAMD00164376	MATCHED					NOT_APPLICABLE	=	32.0	=	32	=	32	CORRECT
50	31474962	KG-18	ciprofloxacin	ciprofloxacin	1280.22661	SAMD00164376	MATCHED					NOT_APPLICABLE	=	64	=	64	=	64	CORRECT
51	31474962	KG-18	minocycline	minocycline	1280.22661	SAMD00164376	MATCHED					NOT_APPLICABLE	=	8.0	=	8	=	8	CORRECT
52	31474962	KG-18	trimethoprim/sulfamethoxazole	trimethoprim/sulfamethoxazole	1280.22661	SAMD00164376	MATCHED					NO_GT_DRUG	=	0.25	=	0.25			NO_GT_DRUG
53	31474962	KG-18	quinupristin/dalfopristin	quinupristin/dalfopristin	1280.22661	SAMD00164376	MATCHED					NOT_APPLICABLE	=	1.0	=	1	=	1	CORRECT
54	31474962	KG-18	erythromycin	erythromycin	1280.22661	SAMD00164376	MATCHED					NOT_APPLICABLE	>	4	>	4	>	4	CORRECT
55	31474962	KG-18	clindamycin	clindamycin	1280.22661	SAMD00164376	MATCHED					NOT_APPLICABLE	=	0.5	=	0.5	=	0.5	CORRECT
56	31474962	KG-19	vancomycin	vancomycin			NO_GENOME_MATCH					NOT_EVALUATED	=	1.0	=	1			NOT_EVALUATED
57	31474962	KG-19	teicoplanin	teicoplanin			NO_GENOME_MATCH					NOT_EVALUATED	=	1.0	=	1			NOT_EVALUATED
58	31474962	KG-19	daptomycin	daptomycin			NO_GENOME_MATCH					NOT_EVALUATED	=	0.5	=	0.5			NOT_EVALUATED
59	31474962	KG-19	linezolid	linezolid			NO_GENOME_MATCH					NOT_EVALUATED	=	1.0	=	1			NOT_EVALUATED
60	31474962	KG-19	arbekacin	arbekacin			NO_GENOME_MATCH					NOT_EVALUATED	=	2.0	=	2			NOT_EVALUATED
61	31474962	KG-19	oxacillin	oxacillin			NO_GENOME_MATCH					NOT_EVALUATED	=	32	=	32			NOT_EVALUATED
62	31474962	KG-19	ampicillin	ampicillin			NO_GENOME_MATCH					NOT_EVALUATED	=	16.0	=	16			NOT_EVALUATED
63	31474962	KG-19	imipenem	imipenem			NO_GENOME_MATCH					NOT_EVALUATED	=	0.5	=	0.5			NOT_EVALUATED
64	31474962	KG-19	meropenem	meropenem			NO_GENOME_MATCH					NOT_EVALUATED	=	2	=	2			NOT_EVALUATED
65	31474962	KG-19	biapenem	biapenem			NO_GENOME_MATCH					NOT_EVALUATED	=	2	=	2			NOT_EVALUATED
