extracted_row	pmid	isolate_id	drug	normalized_drug	genome_id	matched_accessions	genome_match_status	extracted_sir_raw	extracted_sir	ground_truth_sir_raw	ground_truth_sir	sir_result	extracted_mic_sign_raw	extracted_mic_raw	extracted_mic_sign	extracted_mic	ground_truth_mic_sign	ground_truth_mic	mic_result
2	29229636	DMG1700924	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
3	29229636	DMG1700924	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	1024	=	1024			NOT_EVALUATED
4	29229636	DMG1700925	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	4	=	4			NOT_EVALUATED
5	29229636	DMG1700925	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	0.12	=	0.12			NOT_EVALUATED
6	29229636	DMG1700926	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
7	29229636	DMG1700926	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	1024	=	1024			NOT_EVALUATED
8	29229636	DMG1700927	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
9	29229636	DMG1700927	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	1024	=	1024			NOT_EVALUATED
10	29229636	DMG1700928	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
11	29229636	DMG1700928	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	512	=	512			NOT_EVALUATED
12	29229636	DMG1700929	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
13	29229636	DMG1700929	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	1024	=	1024			NOT_EVALUATED
14	29229636	DMG1700930	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
15	29229636	DMG1700930	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	0.12	=	0.12			NOT_EVALUATED
16	29229636	DMG1700931	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
17	29229636	DMG1700931	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	1024	=	1024			NOT_EVALUATED
18	29229636	DMG1700932	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
19	29229636	DMG1700932	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	0.25	=	0.25			NOT_EVALUATED
20	29229636	DMG1700933	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
21	29229636	DMG1700933	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	1024	=	1024			NOT_EVALUATED
22	29229636	DMG1700934	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
23	29229636	DMG1700934	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	0.25	=	0.25			NOT_EVALUATED
24	29229636	DMG1700935	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
25	29229636	DMG1700935	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	1024	=	1024			NOT_EVALUATED
26	29229636	DMG1700936	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	4	=	4			NOT_EVALUATED
27	29229636	DMG1700936	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	0.12	=	0.12			NOT_EVALUATED
28	29229636	DMG1700937	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
29	29229636	DMG1700937	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	1024	=	1024			NOT_EVALUATED
30	29229636	DMG1700938	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
31	29229636	DMG1700938	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	0.12	=	0.12			NOT_EVALUATED
32	29229636	DMG1700939	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
33	29229636	DMG1700939	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	0.25	=	0.25			NOT_EVALUATED
34	29229636	DMG1700940	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
35	29229636	DMG1700940	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	0.25	=	0.25			NOT_EVALUATED
36	29229636	DMG1700941	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
37	29229636	DMG1700941	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	0.12	=	0.12			NOT_EVALUATED
38	29229636	DMG1700942	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
39	29229636	DMG1700942	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	0.25	=	0.25			NOT_EVALUATED
40	29229636	DMG1700943	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
41	29229636	DMG1700943	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	1024	=	1024			NOT_EVALUATED
42	29229636	DMG1700944	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
43	29229636	DMG1700944	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	1024	=	1024			NOT_EVALUATED
44	29229636	DMG1700945	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	4	=	4			NOT_EVALUATED
45	29229636	DMG1700945	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	0.12	=	0.12			NOT_EVALUATED
46	29229636	DMG1700946	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
47	29229636	DMG1700946	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	1024	=	1024			NOT_EVALUATED
48	29229636	DMG1700947	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
49	29229636	DMG1700947	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	1024	=	1024			NOT_EVALUATED
50	29229636	DMG1700948	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
51	29229636	DMG1700948	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	0.25	=	0.25			NOT_EVALUATED
52	29229636	DMG1700949	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	4	=	4			NOT_EVALUATED
53	29229636	DMG1700949	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	0.12	=	0.12			NOT_EVALUATED
54	29229636	DMG1700950	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	4	=	4			NOT_EVALUATED
55	29229636	DMG1700950	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	0.25	=	0.25			NOT_EVALUATED
56	29229636	DMG1700951	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
57	29229636	DMG1700951	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	512	=	512			NOT_EVALUATED
58	29229636	DMG1700953	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
59	29229636	DMG1700953	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	0.25	=	0.25			NOT_EVALUATED
60	29229636	DMG1700954	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
61	29229636	DMG1700954	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	1024	=	1024			NOT_EVALUATED
62	29229636	DMG1700955	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	4	=	4			NOT_EVALUATED
63	29229636	DMG1700955	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	1024	=	1024			NOT_EVALUATED
64	29229636	DMG1700956	fusidic acid	fusidic acid			NO_ACCESSIONS					NOT_EVALUATED	=	8	=	8			NOT_EVALUATED
65	29229636	DMG1700956	mupirocin	mupirocin			NO_ACCESSIONS					NOT_EVALUATED	=	0.12	=	0.12			NOT_EVALUATED
