# TABLE 1: Phenotypic and genotypic characterization of index isolates, including phenotypic susceptibility testing and evaluation of chromogenic culture mediuma
Isolate	Class	Result of molecular testing	Result of susceptibility testing	Result with MRSA screening agar(s):
PBP2a	mecA PCR	FOX DD, MH	OXA DD, MH	OXA GD, 2% NaCl MH	Spectra MRSA	HardyCHROM MRSA	Nonchromogenic MRSA screen agar	Other 3 agarsb
301	BORSA	–	–	S	R	R	+++	+++	+++	–
302	BORSA	–	–	S	I	S	+++	+++	–	–
303	MRSA	P	Det	R	R	R	+++	+++	+++	+++
304	MSSA	–	–	S	S	S	+	–	–	–
305	BORSA	–	–	S	R	R	++	+++	–	–
306	BORSA	–	–	S	S	R	++	+++	–	–
307	BORSA	–	–	S	S	R	++	–	–	–
308	MRSA	P	Det	R	R	R	+++	+++	+++	+++
309	MRSA	P	Det	R	R	R	+++	+++	+++	+++
310	BORSA/MSSAc	–	–	S	S	R	++	–	–	–
311	MSSA	–	–	S	S	S	++	++	–	–
312	MSSA	–	–	S	S	S	++	–	–	–
314	MSSA	–	–	S	S	S	+++	–	–	–
315	BORSA	–	–	S	S	R	++	–	–	–
316	BORSA	–	–	S	S	R	+	–	–	–
318	BORSA	–	–	S	R	R	+	–	–	–
320	MRSA	P	Det	R	R	R	+++	+++	+++	+++
321	BORSA	–	–	S	R	R	+++	+++	+++	–
322	MRSA	P	Det	R	R	R	+++	+++	+++	+++
323	BORSA	–	–	S	S	R	+++	++	+++	–
324	MRSA	P	Det	R	R	R	+++	+++	+++	+++
325	MSSA	–	–	S	S	S	+	–	–	–
327	BORSA	–	–	S	S	R	+++	–	–	–
328	BORSA	–	–	S	I	R	++	–	–	–
329	MRSA	P	Det	R	R	R	+++	++	+++	++
330	MRSA	P	Det	R	R	R	+++	+	+++	+++
331	MSSA	–	–	S	S	S	++	–	–	–
332	BORSA	–	–	S	S	R	+	–	–	–
333	MSSA	–	–	S	S	S	++	–	–	–
334	BORSA	–	–	S	S	R	+	–	–	–
335	MRSA	P	Det	S	I	S	++	–	+++	–
336	BORSA	–	–	S	R	R	+	++	++	–
337	BORSA	–	–	S	S	R	+++	+	++	–
338	BORSA	–	–	S	S	R	+	–	++	–
339	BORSA	–	–	S	S	R	+++	+++	++	–
340	BORSA	–	–	S	S	R	+++	++	++	–
341	BORSA	–	–	S	S	R	++	++	++	–
342	BORSA	–	–	S	S	R	++	++	++	–
343	MSSA	–	–	S	S	S	–	++	–	–
344	BORSA	–	–	R	R	R	+++	+++	++	–
345	BORSA	–	–	S	S	R	+++	–	–	–
346	BORSA	–	–	R	R	R	+++	+++	++	–
